,tanggal,imsyak,shubuh,terbit,dhuha,dzuhur,ashr,magrib,isya
0,2023-12-01,03:35,03:45,05:05,05:29,11:25,14:50,17:40,18:56
1,2023-12-02,03:35,03:45,05:06,05:30,11:25,14:51,17:41,18:57
2,2023-12-03,03:35,03:45,05:06,05:30,11:26,14:51,17:41,18:57
3,2023-12-04,03:35,03:45,05:06,05:30,11:26,14:52,17:42,18:58
4,2023-12-05,03:35,03:45,05:06,05:30,11:26,14:52,17:42,18:58
5,2023-12-06,03:36,03:46,05:07,05:31,11:27,14:53,17:43,18:59
6,2023-12-07,03:36,03:46,05:07,05:31,11:27,14:54,17:43,18:59
7,2023-12-08,03:36,03:46,05:07,05:31,11:28,14:54,17:44,19:00
8,2023-12-09,03:37,03:47,05:08,05:32,11:28,14:55,17:44,19:01
9,2023-12-10,03:37,03:47,05:08,05:32,11:29,14:55,17:45,19:01
10,2023-12-11,03:37,03:47,05:09,05:33,11:29,14:56,17:45,19:02
11,2023-12-12,03:37,03:47,05:09,05:33,11:29,14:56,17:46,19:02
12,2023-12-13,03:38,03:48,05:09,05:33,11:30,14:57,17:46,19:03
13,2023-12-14,03:38,03:48,05:10,05:34,11:30,14:57,17:47,19:03
14,2023-12-15,03:39,03:49,05:10,05:34,11:31,14:58,17:47,19:04
15,2023-12-16,03:39,03:49,05:11,05:35,11:31,14:59,17:48,19:05
16,2023-12-17,03:39,03:49,05:11,05:35,11:32,14:59,17:48,19:05
17,2023-12-18,03:40,03:50,05:12,05:36,11:32,15:00,17:49,19:06
18,2023-12-19,03:40,03:50,05:12,05:36,11:33,15:00,17:49,19:06
19,2023-12-20,03:41,03:51,05:13,05:37,11:33,15:01,17:50,19:07
20,2023-12-21,03:41,03:51,05:13,05:37,11:34,15:01,17:50,19:07
21,2023-12-22,03:42,03:52,05:13,05:37,11:34,15:02,17:51,19:08
22,2023-12-23,03:42,03:52,05:14,05:38,11:35,15:02,17:51,19:08
23,2023-12-24,03:43,03:53,05:14,05:38,11:35,15:03,17:52,19:09
24,2023-12-25,03:43,03:53,05:15,05:39,11:36,15:03,17:52,19:09
25,2023-12-26,03:44,03:54,05:16,05:40,11:36,15:04,17:53,19:10
26,2023-12-27,03:44,03:54,05:16,05:40,11:37,15:04,17:53,19:10
27,2023-12-28,03:45,03:55,05:17,05:41,11:37,15:05,17:54,19:11
28,2023-12-29,03:45,03:55,05:17,05:41,11:38,15:05,17:54,19:11
29,2023-12-30,03:46,03:56,05:18,05:42,11:38,15:05,17:55,19:11
30,2023-12-31,03:46,03:56,05:18,05:42,11:39,15:06,17:55,19:12
