,tanggal,imsyak,shubuh,terbit,dhuha,dzuhur,ashr,magrib,isya
0,2023-12-01,03:20,03:30,04:50,05:14,11:11,14:36,17:28,18:44
1,2023-12-02,03:20,03:30,04:51,05:15,11:12,14:37,17:29,18:45
2,2023-12-03,03:20,03:30,04:51,05:15,11:12,14:38,17:29,18:45
3,2023-12-04,03:20,03:30,04:51,05:15,11:12,14:38,17:30,18:46
4,2023-12-05,03:20,03:30,04:52,05:16,11:13,14:39,17:30,18:46
5,2023-12-06,03:20,03:30,04:52,05:16,11:13,14:39,17:31,18:47
6,2023-12-07,03:21,03:31,04:52,05:16,11:14,14:40,17:31,18:48
7,2023-12-08,03:21,03:31,04:52,05:16,11:14,14:40,17:32,18:48
8,2023-12-09,03:21,03:31,04:53,05:17,11:14,14:41,17:32,18:49
9,2023-12-10,03:21,03:31,04:53,05:17,11:15,14:42,17:33,18:49
10,2023-12-11,03:22,03:32,04:54,05:18,11:15,14:42,17:33,18:50
11,2023-12-12,03:22,03:32,04:54,05:18,11:16,14:43,17:34,18:50
12,2023-12-13,03:22,03:32,04:54,05:18,11:16,14:43,17:34,18:51
13,2023-12-14,03:23,03:33,04:55,05:19,11:17,14:44,17:35,18:52
14,2023-12-15,03:23,03:33,04:55,05:19,11:17,14:44,17:35,18:52
15,2023-12-16,03:24,03:34,04:56,05:20,11:18,14:45,17:36,18:53
16,2023-12-17,03:24,03:34,04:56,05:20,11:18,14:45,17:36,18:53
17,2023-12-18,03:24,03:34,04:57,05:21,11:19,14:46,17:37,18:54
18,2023-12-19,03:25,03:35,04:57,05:21,11:19,14:46,17:37,18:54
19,2023-12-20,03:25,03:35,04:57,05:21,11:20,14:47,17:38,18:55
20,2023-12-21,03:26,03:36,04:58,05:22,11:20,14:48,17:38,18:55
21,2023-12-22,03:26,03:36,04:58,05:22,11:21,14:48,17:39,18:56
22,2023-12-23,03:27,03:37,04:59,05:23,11:21,14:49,17:39,18:56
23,2023-12-24,03:27,03:37,04:59,05:23,11:22,14:49,17:40,18:57
24,2023-12-25,03:28,03:38,05:00,05:24,11:22,14:49,17:40,18:57
25,2023-12-26,03:28,03:38,05:00,05:24,11:23,14:50,17:41,18:58
26,2023-12-27,03:29,03:39,05:01,05:25,11:23,14:50,17:41,18:58
27,2023-12-28,03:29,03:39,05:02,05:26,11:24,14:51,17:42,18:59
28,2023-12-29,03:30,03:40,05:02,05:26,11:24,14:51,17:42,18:59
29,2023-12-30,03:30,03:40,05:03,05:27,11:25,14:52,17:43,18:59
30,2023-12-31,03:31,03:41,05:03,05:27,11:25,14:52,17:43,19:00
